"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP","MEN","YR","A","1999",76.2,
"AUS","LIFEEXP","MEN","YR","A","2000",76.6,
"AUS","LIFEEXP","MEN","YR","A","2001",77,
"AUS","LIFEEXP","MEN","YR","A","2002",77.4,
"AUS","LIFEEXP","MEN","YR","A","2003",77.8,
"AUS","LIFEEXP","MEN","YR","A","2004",78.1,
"AUS","LIFEEXP","MEN","YR","A","2005",78.5,
"AUS","LIFEEXP","MEN","YR","A","2006",78.7,
"AUS","LIFEEXP","MEN","YR","A","2007",79,
"AUS","LIFEEXP","MEN","YR","A","2008",79.2,
"AUS","LIFEEXP","MEN","YR","A","2009",79.3,
"AUS","LIFEEXP","MEN","YR","A","2010",79.5,
"AUS","LIFEEXP","MEN","YR","A","2011",79.7,
"AUS","LIFEEXP","MEN","YR","A","2012",79.9,
"AUS","LIFEEXP","MEN","YR","A","2013",80.1,
"AUS","LIFEEXP","MEN","YR","A","2014",80.3,
"AUS","LIFEEXP","MEN","YR","A","2015",80.4,
"AUS","LIFEEXP","MEN","YR","A","2016",80.4,
"AUS","LIFEEXP","MEN","YR","A","2017",80.5,
"AUS","LIFEEXP","MEN","YR","A","2018",80.7,
"AUS","LIFEEXP","WOMEN","YR","A","1999",81.8,
"AUS","LIFEEXP","WOMEN","YR","A","2000",82,
"AUS","LIFEEXP","WOMEN","YR","A","2001",82.4,
"AUS","LIFEEXP","WOMEN","YR","A","2002",82.6,
"AUS","LIFEEXP","WOMEN","YR","A","2003",82.8,
"AUS","LIFEEXP","WOMEN","YR","A","2004",83,
"AUS","LIFEEXP","WOMEN","YR","A","2005",83.3,
"AUS","LIFEEXP","WOMEN","YR","A","2006",83.5,
"AUS","LIFEEXP","WOMEN","YR","A","2007",83.7,
"AUS","LIFEEXP","WOMEN","YR","A","2008",83.7,
"AUS","LIFEEXP","WOMEN","YR","A","2009",83.9,
"AUS","LIFEEXP","WOMEN","YR","A","2010",84,
"AUS","LIFEEXP","WOMEN","YR","A","2011",84.2,
